idx,cartmass,polemass,polelength,outcome,success,steps,duration_s,reached_upright,time_to_upright_s,longest_balance_steps,longest_balance_s,peak_theta_dev_deg,peak_abs_x_m,control_effort,mean_infer_ms,n_errors,theta0_deg
130,0.35,0.15,0.16,success,1,977,24.425,1,11.825,500,12.5,179.66,0.137,22.205,8.86,0,197.19
131,0.35,0.15,0.2,timeout,0,1000,25.0,1,17.3,296,7.4,179.33,0.32,81.913,8.8,0,197.19
132,0.35,0.15,0.24,timeout,0,1000,25.0,1,17.8,286,7.15,179.98,0.364,105.469,8.82,0,197.19
133,0.35,0.15,0.28,timeout,0,1000,25.0,0,,0,0.0,179.76,0.468,165.071,8.82,0,197.19
134,0.35,0.15,0.32,timeout,0,1000,25.0,0,,0,0.0,179.97,0.423,154.989,8.8,0,197.19
135,0.35,0.15,0.36,timeout,0,1000,25.0,0,,0,0.0,179.98,0.47,132.375,8.78,0,197.19
136,0.35,0.17,0.08,timeout,0,1000,25.0,0,,0,0.0,179.85,0.149,2.404,8.91,0,197.19
137,0.35,0.17,0.12,timeout,0,1000,25.0,1,22.65,90,2.25,179.95,0.144,17.957,8.91,0,197.19
138,0.35,0.17,0.16,timeout,0,1000,25.0,1,13.7,438,10.95,179.94,0.207,29.054,8.92,0,197.19
139,0.35,0.17,0.2,timeout,0,1000,25.0,1,22.75,86,2.15,179.58,0.274,137.482,8.91,0,197.19
140,0.35,0.17,0.24,timeout,0,1000,25.0,1,18.8,149,3.725,179.89,0.683,127.485,8.91,0,197.19
141,0.35,0.17,0.28,timeout,0,1000,25.0,0,,0,0.0,179.89,0.388,172.261,8.91,0,197.19
142,0.35,0.17,0.32,timeout,0,1000,25.0,0,,0,0.0,179.88,0.454,146.537,8.9,0,197.19
143,0.35,0.17,0.36,timeout,0,1000,25.0,0,,0,0.0,179.81,0.508,128.593,8.91,0,197.19
144,0.35,0.19,0.08,timeout,0,1000,25.0,0,,0,0.0,179.96,0.154,2.737,8.91,0,197.19
