idx,cartmass,polemass,polelength,outcome,success,steps,duration_s,reached_upright,time_to_upright_s,longest_balance_steps,longest_balance_s,peak_theta_dev_deg,peak_abs_x_m,control_effort,mean_infer_ms,n_errors,theta0_deg
66,0.3,0.21,0.16,out_of_bounds,0,553,13.825,1,12.3,0,0.0,179.92,4.017,82.983,14.92,0,197.19
67,0.3,0.21,0.2,out_of_bounds,0,712,17.8,1,16.925,0,0.0,179.96,4.039,129.813,16.35,0,197.19
68,0.3,0.21,0.24,timeout,0,1000,25.0,0,,0,0.0,179.91,0.523,109.151,14.58,0,197.19
69,0.3,0.21,0.28,timeout,0,1000,25.0,0,,0,0.0,179.63,0.399,89.892,15.71,0,197.19
70,0.3,0.21,0.32,timeout,0,1000,25.0,0,,0,0.0,180.0,0.564,100.419,14.54,0,197.19
71,0.3,0.21,0.36,timeout,0,1000,25.0,0,,0,0.0,179.96,0.74,94.852,15.79,0,197.19
72,0.3,0.23,0.08,timeout,0,1000,25.0,0,,0,0.0,179.98,0.197,5.105,14.66,0,197.19
73,0.3,0.23,0.12,success,1,923,23.075,1,10.275,500,12.5,179.77,0.229,21.721,15.34,0,197.19
74,0.3,0.23,0.16,out_of_bounds,0,548,13.7,1,12.125,0,0.0,179.91,4.086,84.301,13.9,0,197.19
75,0.3,0.23,0.2,out_of_bounds,0,678,16.95,1,13.525,0,0.0,179.71,4.115,188.979,15.36,0,197.19
76,0.3,0.23,0.24,timeout,0,1000,25.0,0,,0,0.0,179.99,0.529,105.568,14.37,0,197.19
77,0.3,0.23,0.28,timeout,0,1000,25.0,0,,0,0.0,179.86,0.414,90.014,15.36,0,197.19
78,0.3,0.23,0.32,timeout,0,1000,25.0,0,,0,0.0,179.77,0.61,90.877,14.12,0,197.19
79,0.3,0.23,0.36,timeout,0,1000,25.0,0,,0,0.0,179.9,0.802,103.924,15.36,0,197.19
80,0.3,0.25,0.08,timeout,0,1000,25.0,0,,0,0.0,180.0,0.211,5.615,13.8,0,197.19
81,0.3,0.25,0.12,out_of_bounds,0,476,11.9,1,10.05,0,0.0,179.97,4.047,63.015,14.06,0,197.19
82,0.3,0.25,0.16,out_of_bounds,0,536,13.4,1,11.875,0,0.0,179.98,4.064,83.016,13.71,0,197.19
83,0.3,0.25,0.2,out_of_bounds,0,755,18.875,1,14.65,0,0.0,179.51,4.017,224.025,14.27,0,197.19
84,0.3,0.25,0.24,timeout,0,1000,25.0,0,,0,0.0,179.68,0.563,49.79,14.89,0,197.19
85,0.3,0.25,0.28,timeout,0,1000,25.0,0,,0,0.0,179.89,0.451,90.149,14.12,0,197.19
86,0.3,0.25,0.32,timeout,0,1000,25.0,0,,0,0.0,179.88,0.624,85.986,14.24,0,197.19
87,0.3,0.25,0.36,out_of_bounds,0,881,22.025,1,16.975,0,0.0,179.97,4.012,251.325,14.09,0,197.19
88,0.35,0.05,0.08,out_of_bounds,0,373,9.325,1,7.525,0,0.0,179.99,4.046,28.867,14.33,0,197.19
89,0.35,0.05,0.12,out_of_bounds,0,316,7.9,1,5.625,0,0.0,179.78,4.129,37.254,13.67,0,197.19
90,0.35,0.05,0.16,success,1,714,17.85,1,5.275,500,12.5,179.96,0.118,7.997,13.93,0,197.19
91,0.35,0.05,0.2,success,1,745,18.625,1,6.025,500,12.5,178.51,0.149,11.389,14.47,0,197.19
92,0.35,0.05,0.24,success,1,850,21.25,1,8.65,500,12.5,179.94,0.195,19.702,14.05,0,197.19
93,0.35,0.05,0.28,success,1,884,22.1,1,9.15,500,12.5,179.75,0.245,23.003,15.45,0,197.19
94,0.35,0.05,0.32,timeout,0,1000,25.0,0,,0,0.0,179.79,0.293,65.326,15.9,0,197.19
